noFSG,nom,prenom,sexe,dateNaissance,categorie,idSociete
38144,Blanc,Arthur,M,2009-07-17,5,09
83224,Perez,Maurice,M,2012-03-31,3,13
86224,Bigot,Édouard,M,1999-01-29,7,06
52855,Lefebvre,Vincent,M,2013-06-21,3,10
51610,Leroux,Tristan,M,2015-09-26,2,09
62071,Moreau,Matthieu,M,2012-11-27,3,06
93416,Rousseau,Léon,M,2000-12-02,7,14
55705,Costa,Théophile,M,2016-06-18,1,14
43749,Normand,Claudine,F,2013-11-22,3,13
75219,Courtois,Alex,F,2004-08-14,7,12
73511,Faure,Suzanne,F,2009-12-31,5,04
95371,Duval,Maryse,F,2011-03-25,4,01
59459,Samson,Alix,F,2011-02-24,4,13
50101,Guillou,Monique,F,2013-04-14,3,08
76933,Guilbert,Zoé,F,2013-05-06,3,10
48248,Renard,Nathalie,F,1996-01-09,D,09
51127,Lacroix,Diane,F,2014-03-18,2,05
56843,Andre,Hélène,F,2011-09-22,4,04
95278,Merle,Alexandria,F,2015-12-13,2,11
52356,Klein,Valérie,F,2015-03-12,2,07
69659,Delattre,Margot,F,2009-12-16,5,06
48245,Lamy,Anouk,F,2016-07-06,1,08
32247,Bouvet,Bernadette,F,1993-03-16,D,13
17332,Clerc,Marcelle,F,2014-05-02,2,14
38860,Toussaint,Claudine,F,1992-09-24,7,09
78685,Rolland,Renée,F,2001-12-28,D,02
64476,Bouchet,Anouk,F,2013-08-30,3,09
16449,Richard,Jacqueline,F,2004-07-29,7,04
73772,Pierre,Claire,F,2004-02-16,7,04
36248,Blot,Anouk,F,2013-04-06,3,02
90180,Guyon,Diane,F,2014-11-13,2,11
41166,Carpentier,Philippine,F,1994-12-20,7,13
67385,Coste,Célina,F,1996-03-02,D,03
27973,Gosselin,Margot,F,2013-03-28,3,09
73544,Coulon,Laetitia,F,2015-03-20,2,06
62882,Pages,Camille,F,1998-01-12,D,11
12884,Didier,Laure,F,1994-05-12,D,01
76451,Joubert,Paulette,F,2016-03-05,1,09
31013,Hardy,Odette,F,2007-01-11,6,01
40173,Cordier,Françoise,F,2012-04-05,3,13
28647,Petit,Henriette,F,2014-12-08,2,12
63335,Vidal,Michelle,F,2009-03-21,5,02
61795,Delahaye,Élodie,F,2012-02-17,3,03
96376,Poulain,Sophie,F,1992-02-23,7,03
32353,Hamel,Colette,F,2016-12-17,1,14
97764,Schmitt,Maryse,F,1995-05-28,D,02
41899,Ramos,Aimée,F,2012-04-08,3,08
65512,Dupuy,Alice,F,2011-07-12,4,11
86718,Philippe,Gabrielle,F,2009-08-15,5,11
74539,Dupont,Sophie,F,2016-09-10,1,12
32970,Noël,Simone,F,2012-06-15,3,07
56469,Morel,Hélène,F,2009-02-28,5,09
22411,Lebreton,Adèle,F,1994-01-18,7,12
38000,Blondel,Nathalie,F,1998-05-08,7,09
10460,Vidal,Marcelle,F,2014-07-09,2,11
12969,Dos Santos,Antoinette,F,1993-06-08,7,13
16268,Morel,Antoinette,F,2016-07-24,1,11
58772,Munoz,Margot,F,2015-12-05,2,10
52665,Robert,Astrid,F,2016-12-29,1,01
39570,Marchal,Suzanne,F,2015-01-31,2,06
10831,Leclerc,Noémi,F,2011-05-28,4,04
98295,Albert,Océane,F,2000-10-16,7,12
52979,Meyer,Astrid,F,2015-11-07,2,08
19105,Simon,Hélène,F,2004-05-23,7,02
17046,Maréchal,Nathalie,F,2011-12-13,4,01
96499,Gosselin,Brigitte,F,2007-03-04,6,05
54141,Joly,Lucie,F,2016-11-24,1,02
47614,Lemaître,Marguerite,F,2011-12-17,4,14
30721,Coulon,Clémence,F,1996-04-28,D,03
47869,Foucher,Antoinette,F,2011-12-26,4,14
59924,Wagner,Anastasie,F,2016-08-18,1,09
57395,Masson,Charlotte,F,2008-03-24,5,06
74514,Gros,Bernadette,F,2013-11-26,3,02
55451,Charrier,Aurélie,F,2013-08-24,3,14
69078,Rossi,Marthe,F,2001-03-08,7,10
38626,Dijoux,Marie,F,2011-09-14,4,06
18159,Germain,Nicole,F,2005-07-05,6,07
74150,Techer,Émilie,F,2005-07-28,6,04
76016,François,Michelle,F,2012-06-06,3,03
76935,Brunel,Margot,F,2014-10-07,2,06
47718,Le Goff,Véronique,F,2015-06-04,2,12
35544,De Oliveira,Andrée,F,2009-12-01,5,07
65246,Hebert,Victoire,F,2012-11-12,3,06
26015,Dos Santos,Audrey,F,2016-07-13,1,12
39743,Aubert,Luce,F,2012-08-22,3,11
82094,Ferreira,Henriette,F,2002-01-22,7,02
78019,Roy,Josette,F,2012-07-20,3,02
45404,Delmas,Louise,F,2015-09-12,2,03
77809,Monnier,Andrée,F,1993-10-01,7,02
84112,Martins,Michelle,F,2014-09-23,2,11
89506,Joly,Julie,F,2013-08-15,3,12
24511,Barthelemy,Susanne,F,2006-08-02,6,06
75200,Blin,Adélaïde,F,2016-08-10,1,02
84324,Meunier,Henriette,F,2016-10-24,1,11
55534,Daniel,Philippine,F,1999-11-14,7,10
29856,Boutin,Charlotte,F,2011-07-24,4,09
58933,Rousseau,Élise,F,2013-02-25,3,01
53794,Pottier,Sophie,F,2016-10-05,1,13
96200,Duval,Danielle,F,2012-09-20,3,09
17295,Delmas,Danielle,F,2015-02-05,2,05
99516,Gautier,Agathe,F,2016-04-11,1,04
48351,David,Madeleine,F,2012-10-05,3,08
69544,Reynaud,Simone,F,1995-04-23,D,02
95743,Boyer,Émilie,F,1996-10-11,7,06
82485,Da Costa,Laetitia,F,2003-01-19,7,08
89459,Delattre,Odette,F,2001-08-19,7,05
20153,Barbier,Monique,F,2016-07-10,1,01
96342,Thierry,Constance,F,2014-12-13,2,14
78567,Merle,Simone,F,2011-03-06,4,01
48795,Besnard,Michelle,F,2014-10-26,2,12
93690,Gay,Victoire,F,1994-12-18,7,12
65986,Bouvier,Laurence,F,2016-11-17,1,06
63286,Charles,Susanne,F,2004-02-04,7,02
94552,Lacombe,Henriette,F,2006-11-10,6,08
15643,Navarro,Laetitia,F,2008-06-04,5,14
34701,Lamy,Véronique,F,1996-10-24,7,07
24716,Giraud,Alix,F,2010-04-12,4,10
85367,Bègue,Brigitte,F,2016-09-03,1,14
87831,Breton,Philippine,F,2013-12-25,3,14
88993,Bourgeois,Maryse,F,2002-12-20,7,03
95522,Fouquet,Sophie,F,2010-11-26,4,14
56468,Marchand,Édith,F,2014-06-28,2,09
16486,Renard,Olivie,F,2009-05-23,5,14
60164,Huet,Marthe,F,1998-01-16,7,02
83779,Rey,Virginie,F,1998-05-16,D,06
34788,Rossi,Hortense,F,2013-05-22,3,02
15092,Bègue,Constance,F,2004-07-09,7,13
12798,Courtois,Anastasie,F,2016-04-10,1,09
37837,David,Camille,F,2016-08-11,1,12
36777,Gérard,Luce,F,2010-12-26,4,08
63385,Dumas,Agathe,F,2012-12-23,3,05
87016,Merle,Suzanne,F,1999-09-12,7,07
39122,Deschamps,Virginie,F,2002-09-28,7,08
48764,Lévy,Zoé,F,2014-03-10,2,06
30108,Seguin,Nicole,F,2007-09-15,6,06
55916,Buisson,Isabelle,F,2010-08-29,4,05
49313,Mathieu,Agnès,F,2015-04-27,2,11
12619,Henry,Maryse,F,1994-04-23,D,11
52160,Pons,Christiane,F,2011-10-14,4,12
46778,Benoit,Julie,F,1998-06-12,7,07
99232,Michaud,Jacqueline,F,2011-08-07,4,12
91357,Gomes,Nicole,F,1999-10-25,7,07
63697,Benoit,Christelle,F,2014-02-13,2,09
66162,Marchand,Éléonore,F,2009-06-07,5,02
40484,Perret,Margaud,F,2003-11-06,7,09
54144,Joubert,Audrey,F,2012-12-03,3,13
94062,Klein,Margaux,F,2015-10-02,2,13
68896,Gomes,Luce,F,1997-09-16,D,14
85381,Weiss,Constance,F,2010-06-02,4,14
91969,Aubry,Christelle,F,2011-05-24,4,06
87528,Albert,Alexandrie,F,1999-02-24,7,07
12790,Raynaud,Océane,F,2016-07-09,1,08
45609,Wagner,Louise,F,2014-11-28,2,02
89631,Weber,Margot,F,2012-08-08,3,11
23578,Lacombe,Audrey,F,2016-06-08,1,07
86064,Laurent,Martine,F,2002-03-30,7,06
26792,Jacquot,Susanne,F,2013-08-12,3,13
48510,Samson,Isabelle,F,2016-05-31,1,06
14866,Moulin,Philippine,F,2003-03-25,7,06
99025,Pires,Michelle,F,2015-05-24,2,13
46254,Maillard,Antoinette,F,2015-05-11,2,09
78623,Michel,Michèle,F,2012-12-01,3,09
57262,Denis,Mathilde,F,2009-01-02,5,11
31586,Auger,Alex,F,2012-02-29,3,08
54210,Rousset,Nicole,F,2013-01-17,3,01
96700,Andre,Constance,F,2004-07-20,7,05
25967,Mendès,Éléonore,F,2012-09-01,3,07
52754,Michel,Caroline,F,2014-06-26,2,10
55737,Gomez,Sylvie,F,2003-01-25,7,02
12319,Dufour,Laure,F,2016-11-01,1,06
38932,Pires,Marguerite,F,2014-07-15,2,02
61924,Chevalier,Christiane,F,2010-03-28,4,07
26342,Delahaye,Chantal,F,1995-11-20,D,01
19608,Boulay,Emmanuelle,F,2005-08-07,6,02
26468,Bazin,Pauline,F,2013-08-09,3,09
47237,Gaillard,Laurence,F,1999-06-13,D,02
80497,Joly,Jeanne,F,2010-08-26,4,04
45875,Joseph,Dominique,F,2015-09-10,2,07
78319,Laporte,Simone,F,2011-12-28,4,04
75954,Pons,Alix,F,2014-09-16,2,08
50340,Simon,Agathe,F,2013-12-10,3,07
21580,Bègue,Catherine,F,2010-03-21,4,13
10601,Nguyen,Anouk,F,1998-06-12,7,05
55447,Rousseau,Michelle,F,1994-06-24,D,14
48499,Moulin,Dorothée,F,2013-09-01,3,05
97582,Gilbert,Juliette,F,2013-09-18,3,08
69722,Collin,Virginie,F,2008-12-15,5,13
42786,Marchand,Lorraine,F,2011-05-28,4,12
45297,Delannoy,Claire,F,2011-10-01,4,05
20802,Denis,Laure,F,2015-02-07,2,07
19258,Boulay,Noémi,F,1996-08-02,7,02
69418,Dumont,Amélie,F,1994-01-17,D,03
79799,Dijoux,Véronique,F,2016-10-17,1,12
59090,Hernandez,Noémi,F,1998-07-30,D,08
18307,Briand,Nathalie,F,2009-04-10,5,04
65630,Bodin,Adèle,F,2009-11-08,5,05
60618,Martins,Émilie,F,2013-08-13,3,07
63661,Langlois,Hélène,F,2010-06-14,4,08
56539,Bonneau,Christiane,F,1995-03-26,D,08
92994,Collin,Marianne,F,2016-04-14,1,04
60229,Rolland,Michelle,F,2015-11-04,2,10
98737,Robert,Sylvie,F,2014-04-18,2,14
38328,Perez,Anouk,F,1996-03-20,D,06
93405,Le Goff,Anouk,F,2012-12-09,3,07
84602,Sauvage,Claude,F,2016-02-28,1,06
40308,Mahe,Alix,F,2016-08-29,1,01
91442,Roger,Sylvie,F,2004-01-01,7,13
81743,Tanguy,Alex,F,2014-07-03,2,08
47090,Royer,Jeannine,F,2007-12-21,6,04
54662,Delorme,Julie,F,2014-05-28,2,03
68038,Lesage,Agathe,F,2011-04-17,4,04
97961,Germain,Gabrielle,F,2015-08-10,2,02
11478,Baron,Odette,F,2009-12-16,5,08
58987,Caron,Lorraine,F,2011-06-09,4,10
23836,Guillou,Henriette,F,2009-05-31,5,14
66650,Renaud,Lorraine,F,2010-01-20,4,03
56841,Menard,Caroline,F,1993-11-15,D,05
32479,Carre,Virginie,F,2010-07-12,4,06
85642,Mallet,Alexandria,F,2009-04-02,5,12
19270,Moreno,Dominique,F,2015-01-08,2,04
49388,Gosselin,Édith,F,2004-08-05,7,05
83348,Paul,Astrid,F,2015-06-02,2,09
34999,Evrard,Océane,F,1996-12-23,7,01
18086,Richard,Chantal,F,2004-08-27,7,11
50988,Dupont,Zoé,F,1999-05-21,D,09
14318,Dufour,Martine,F,1993-12-14,D,13
96649,Lemaire,Élise,F,2011-03-31,4,05
71274,Potier,Stéphanie,F,2015-10-15,2,06
13067,Giraud,Hortense,F,2010-06-09,4,13
42324,De Oliveira,Océane,F,2012-03-02,3,01
12229,Breton,Alexandria,F,1994-04-08,7,12
37585,Huet,Agnès,F,2016-04-14,1,09
65314,Lévy,Catherine,F,2004-07-14,7,01
54282,Launay,Isabelle,F,2012-10-04,3,07
31791,Reynaud,Maggie,F,2010-01-21,4,11
13982,Martineau,Camille,F,2014-09-20,2,03
28305,Millet,Jeannine,F,1993-05-04,D,01
62004,Richard,Corinne,F,2002-10-30,7,12
77462,Mahe,Constance,F,2014-12-22,2,12
39430,Couturier,Michelle,F,2011-11-06,4,05
27466,Daniel,Chantal,F,2009-08-01,5,04
23379,Diaz,Arnaude,F,2002-10-10,7,04
90726,Ferrand,Lucie,F,2016-11-25,1,08
15652,Gauthier,Christiane,F,2012-07-18,3,05
40208,Pinto,Dominique,F,2002-02-19,7,10
17702,Camus,Nicole,F,1996-12-03,7,05
98671,Roche,Margot,F,2014-05-19,2,11
18955,Cordier,Adélaïde,F,2011-03-30,4,13
76993,Hardy,Nathalie,F,2011-06-09,4,02
25094,Benard,Frédérique,F,2010-01-09,4,09
89416,Moreno,Susanne,F,2017-02-04,1,01
45600,Peltier,Laure,F,2010-12-18,4,05
48461,Petitjean,Susanne,F,2011-07-29,4,04
20349,Didier,Virginie,F,2010-08-10,4,14
13109,Boucher,Catherine,F,2010-03-16,4,01
96024,Regnier,Laetitia,F,2013-03-18,3,02
81221,Verdier,Capucine,F,2016-01-02,1,01
23003,Maillot,Christiane,F,2010-03-24,4,02
